Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-14,148.2183380126953,141.85299682617188,125.35169982910156,269.4686279296875,255.4566650390625,151.66253001815127,147.4499969482422,129.78848807824545,278.202662737741,266.8999938964844,147.70664029732,140.88400268554688,124.67892145628271,268.86426809726044,252.01333618164062,149.035105347276,145.9810028076172,129.63024802938145,273.27027022073963,260.2033386230469,108732100,74086000,38812000,30660700,71152200
2022-03-15,152.61705017089844,147.3665008544922,128.583251953125,279.90850830078125,267.2966613769531,153.089407270085,147.98500061035156,129.23663756892861,280.5616250101141,268.5233459472656,147.98216062819657,142.0,125.12229757961958,271.70086453830385,252.19000244140625,148.49385829575584,142.85000610351562,126.37182448632802,273.2800058454423,258.42333984375,92964300,75584000,30920000,34245100,66841200
2022-03-16,157.04530334472656,153.10400390625,132.6463165283203,286.9659729003906,280.07666015625,157.44876942008187,153.14999389648438,132.69855699952495,287.14142645095416,280.6666564941406,151.99711238572482,147.35350036621094,128.12194243977905,276.0581642874162,267.4200134277344,154.54581073699606,148.5,130.1109376361614,281.8190974334026,269.6666564941406,102300200,84958000,35576000,37826300,84028800
2022-03-17,158.05886840820312,157.23899841308594,133.20216369628906,287.7750244140625,290.5333251953125,158.43281401642653,157.49850463867188,133.44251542685555,288.1551737681547,291.6666564941406,155.11655432923627,152.13999938964844,131.55602693390728,282.0725461188908,275.239990234375,156.08092377543556,152.6405029296875,132.51544446609907,285.8937030703345,276.9966735839844,75615400,72934000,28264000,30816600,66582900
2022-03-18,161.36529541015625,161.25050354003906,135.477783203125,292.8536071777344,301.7966613769531,161.85732279036876,161.593994140625,135.59571910651152,293.4092397879423,302.6166687011719,157.212583119924,156.01100158691406,131.62917901519822,285.3478072645001,289.1300048828125,157.95062419024276,156.81300354003906,132.78963125023313,287.92121502824654,291.4966735839844,123511700,102962000,44566000,43390600,100414200
2022-03-21,162.7429962158203,161.4915008544922,135.4539031982422,291.6156005859375,307.0533447265625,163.69753062342352,163.08399963378906,136.39789162419223,292.5708970455594,314.2833251953125,160.410776006235,159.55299377441406,133.4544597507842,287.46302239668256,302.36334228515625,160.90280343219604,161.12100219726562,135.51560466660072,291.35242032316927,304.99334716796875,95811400,66538000,26832000,28351200,81981600
2022-03-22,166.12814331054688,164.88900756835938,139.20248413085938,296.3920593261719,331.32666015625,166.71856719819857,166.16700744628906,140.37886680791058,297.30835631234925,332.6199951171875,162.28048532842047,161.69900512695312,135.45391090476724,291.23545688233907,307.25,162.87090921607214,161.8054962158203,135.45391090476724,292.2394806334095,310.0,81532000,64086000,35496000,27599700,105868500
2022-03-23,167.49595642089844,163.4080047607422,137.6175537109375,291.9372863769531,333.03668212890625,169.88720212485975,166.3699951171875,138.9243097056279,295.5829892215264,346.8999938964844,164.9767637860135,162.68699645996094,137.17915893523153,290.2119339230564,325.4666748046875,165.31135379443643,163.7050018310547,138.0425238994977,292.93158249273176,326.64666748046875,98062700,55812000,25154000,25715400,120676200
2022-03-24,171.29444885253906,163.64950561523438,140.89837646484375,296.4310302734375,337.97332763671875,171.36332488957797,164.11849975585938,140.94514991308523,296.528514363223,341.4966735839844,167.49599622256298,160.0500030517578,137.09505730306245,290.79679496025915,329.6000061035156,168.33243390367338,163.74949645996094,138.53765371288432,291.5961228493457,336.57666015625,90131400,56798000,26396000,24484500,68920800
2022-03-25,171.93406677246094,164.77349853515625,140.99888610839844,296.0216369628906,336.8800048828125,172.48513509296794,165.36849975585938,141.35916312962928,297.7957464215104,340.6000061035156,169.99547749215097,162.25,139.07259464161262,291.74236167311045,332.44000244140625,171.10746429170044,164.0,141.24072608323831,297.53256612739574,336.0,80546200,49032000,24126000,22566500,62031600
2022-03-28,172.80003356933594,168.99049377441406,140.78244018554688,302.8646545410156,363.9466552734375,172.92795048627315,169.03750610351562,141.32683456688196,302.96210890248284,365.9599914550781,169.25743018713217,164.89999389648438,139.1462501767931,296.6552707705214,351.20001220703125,169.42471770580778,164.97500610351562,140.23007305677257,296.6552707705214,355.0333251953125,90371900,59854000,35050000,29578200,102506100
2022-03-29,176.10643005371094,169.31500244140625,141.82742309570312,307.4558410644531,366.5233459472656,176.15562077474206,170.8314971923828,143.10930412787826,307.8555050551628,371.5899963378906,173.52819661212067,167.86849975585938,141.36264991460445,301.25621516316215,357.7033386230469,173.8726217522342,170.38400268554688,141.96876091620584,305.99366879267336,369.3299865722656,100589400,66154000,34318000,30393400,73614900
